Last Name,First Name,Age,Height,Weight,Team,Abbr,GP,G,A,P,TOI,Hits,PIM,+/-
Burakovsky,Andre,25,"6'3""",201,Colorado Avalanche,COL,48,17,19,36,14:59,16,10,0
Miller,J.T.,27,"6'1""",218,Vancouver Canucks,VAN,44,12,24,36,21:06,83,31,-9
Verhaeghe,Carter,25,"6'2""",190,Florida Panthers,FLA,42,17,18,35,17:46,31,27,23
Farabee,Joel,20,"6'0""",172,Philadelphia Flyers,PHI,52,17,18,35,16:01,48,26,-3
Gourde,Yanni,29,"5'9""",172,Tampa Bay Lightning,TBL,53,17,18,35,17:03,46,30,9
Kubalik,Dominik,25,"6'2""",179,Chicago Blackhawks,CHI,53,17,18,35,15:20,55,18,-3
Tkachuk,Brady,21,"6'4""",212,Ottawa Senators,OTT,53,17,18,35,18:17,235,63,-15
Horvat,Bo,25,"6'0""",216,Vancouver Canucks,VAN,47,16,19,35,19:44,53,12,-6
Keller,Clayton,22,"5'10""",170,Arizona Coyotes,ARI,54,14,21,35,16:39,19,18,-4
Garland,Conor,24,"5'10""",165,Arizona Coyotes,ARI,47,10,25,35,17:52,26,26,-4
Niederreiter,Nino,28,"6'2""",218,Carolina Hurricanes,CAR,53,20,14,34,15:45,64,27,20
Stamkos,Steven,30,"6'1""",194,Tampa Bay Lightning,TBL,38,17,17,34,18:16,38,16,4
Tkachuk,Matthew,23,"6'2""",203,Calgary Flames,CGY,51,10,24,34,18:09,128,49,3
Bailey,Joshua,31,"6'1""",212,New York Islanders,NYI,51,8,26,34,17:35,13,4,10
Hoffman,Mike,31,"6'0""",181,St. Louis Blues,STL,47,17,16,33,15:04,27,10,5
Batherson,Drake,22,"6'3""",205,Ottawa Senators,OTT,53,17,16,33,16:26,95,8,-14
Hyman,Zach,28,"6'1""",209,Toronto Maple Leafs,TOR,43,15,18,33,19:21,69,28,19
Zacha,Pavel,23,"6'3""",209,New Jersey Devils,NJD,47,15,18,33,17:15,42,8,-13
Norris,Joshua,21,"6'2""",192,Ottawa Senators,OTT,53,15,18,33,16:24,68,13,-10
Nugent-Hopkins,Ryan,27,"6'0""",183,Edmonton Oilers,EDM,47,14,19,33,20:53,26,22,-4
Atkinson,Cam,31,"5'8""",179,Columbus Blue Jackets,CBJ,54,14,19,33,18:59,20,4,-15
Wilson,Tom,26,"6'4""",218,Washington Capitals,WSH,44,13,20,33,16:40,101,84,3
Stephenson,Chandler,26,"6'0""",203,Vegas Golden Knights,VGK,47,13,20,33,18:00,38,27,21
Roslovic,Jack,23,"6'1""",187,Columbus Blue Jackets,CBJ,46,11,22,33,16:50,29,14,-9
Konecny,Travis,23,"5'10""",174,Philadelphia Flyers,PHI,47,11,22,33,15:55,51,26,-5
Vrana,Jakub,24,"6'0""",196,Detroit Red Wings,DET,9,6,1,7,17:23,2,2,2
Eberle,Jordan,30,"5'11""",187,New York Islanders,NYI,53,15,17,32,16:45,28,16,8
Killorn,Alex,31,"6'1""",196,Tampa Bay Lightning,TBL,53,15,17,32,17:54,55,35,5
Hörnqvist,Patric,33,"5'11""",190,Florida Panthers,FLA,44,14,18,32,16:47,80,39,-3
Schenn,Brayden,29,"6'1""",201,St. Louis Blues,STL,51,14,18,32,19:20,105,29,1
Smith,Craig,31,"6'1""",207,Boston Bruins,BOS,51,13,19,32,14:48,65,18,21
Olofsson,Victor,25,"5'11""",183,Buffalo Sabres,BUF,54,13,19,32,17:20,16,6,-20
Kyrou,Jordan,22,"6'0""",176,St. Louis Blues,STL,50,12,20,32,14:31,6,12,2
Zuccarello,Mats,33,"5'8""",183,Minnesota Wild,MIN,39,11,21,32,16:35,11,8,7
Schmaltz,Nick,24,"6'0""",176,Arizona Coyotes,ARI,52,10,22,32,17:03,15,16,-1
Brown,Connor,26,"6'0""",183,Ottawa Senators,OTT,53,19,12,31,18:13,22,12,-1
Tuch,Alex,24,"6'4""",223,Vegas Golden Knights,VGK,51,18,13,31,16:44,47,26,17
Brown,Dustin,36,"6'0""",216,Los Angeles Kings,LAK,49,17,14,31,17:37,85,18,-3
Couture,Logan,31,"6'1""",205,San Jose Sharks,SJS,53,17,14,31,19:15,58,25,-10
Forsberg,Filip,26,"6'1""",205,Nashville Predators,NSH,37,12,19,31,18:22,45,16,-8
Benn,Jamie,31,"6'2""",205,Dallas Stars,DAL,49,11,20,31,17:49,69,33,8
Hughes,Jack,19,"5'11""",170,New Jersey Devils,NJD,53,11,20,31,19:09,15,14,-1
Duclair,Anthony,25,"5'11""",192,Florida Panthers,FLA,41,10,21,31,15:38,30,18,25
Greenway,Jordan,23,"6'6""",227,Minnesota Wild,MIN,52,6,25,31,15:50,80,49,8
Kreider,Chris,29,"6'3""",216,New York Rangers,NYR,50,20,10,30,17:23,115,34,-1
Nelson,Brock,29,"6'3""",212,New York Islanders,NYI,53,16,14,30,17:53,36,12,-6
Comtois,Maxime,21,"6'2""",216,Anaheim Ducks,ANA,53,14,16,30,15:25,92,40,2
Coleman,Blake,29,"5'11""",201,Tampa Bay Lightning,TBL,52,13,17,30,15:26,97,33,15
Kadri,Nazem,30,"6'0""",192,Colorado Avalanche,COL,51,11,19,30,16:29,29,34,-7
Tatar,Tomas,30,"5'10""",183,Montreal Canadiens,MTL,46,10,20,30,15:01,58,8,7
Hall,Taylor,29,"6'1""",205,Boston Bruins,BOS,13,6,5,11,15:40,9,0,12
Sharangovich,Yegor,22,"6'2""",205,New Jersey Devils,NJD,51,16,13,29,16:48,19,4,-2
Donskoi,Joonas,28,"6'0""",190,Colorado Avalanche,COL,46,15,14,29,14:18,13,8,15
Kempe,Adrian,24,"6'2""",194,Los Angeles Kings,LAK,51,14,15,29,16:56,46,20,-14
McCann,Jared,24,"6'1""",185,Pittsburgh Penguins,PIT,41,13,16,29,14:07,38,6,12
Stastny,Paul,35,"6'0""",194,Winnipeg Jets,WPG,52,13,16,29,17:38,36,30,-2
Meier,Timo,24,"6'0""",216,San Jose Sharks,SJS,51,10,19,29,16:03,72,22,-6
Kuznetsov,Evgeny,28,"6'2""",205,Washington Capitals,WSH,41,9,20,29,16:34,21,18,7
Eriksson,Joel,23,"6'1""",207,Minnesota Wild,MIN,52,18,10,28,17:06,97,16,16
Dvorak,Christian,24,"6'0""",194,Arizona Coyotes,ARI,54,15,13,28,18:22,47,12,-11
Pageau,Jean-Gabriel,28,"5'10""",183,New York Islanders,NYI,51,14,14,28,16:47,107,10,9
Iafallo,Alex,27,"6'0""",185,Los Angeles Kings,LAK,50,12,16,28,19:58,23,2,-5
Hayes,Kevin,28,"6'5""",216,Philadelphia Flyers,PHI,52,12,16,28,17:36,59,22,-6
Guryanov,Denis,23,"6'3""",201,Dallas Stars,DAL,52,11,17,28,15:55,58,21,0
Kapanen,Kasperi,24,"6'1""",192,Pittsburgh Penguins,PIT,38,10,18,28,15:32,41,7,15
Monahan,Sean,26,"6'2""",201,Calgary Flames,CGY,49,10,18,28,17:46,48,10,-6
Spezza,Jason,37,"6'3""",216,Toronto Maple Leafs,TOR,50,10,18,28,10:58,22,6,3
Bratt,Jesper,22,"5'10""",174,New Jersey Devils,NJD,43,7,21,28,16:06,31,8,4
Mantha,Anthony,26,"6'5""",225,Washington Capitals,WSH,11,4,2,6,17:03,13,4,0
Järnkrok,Calle,29,"5'11""",185,Nashville Predators,NSH,48,13,14,27,16:49,29,14,10
Malkin,Evgeni,34,"6'3""",194,Pittsburgh Penguins,PIT,31,8,19,27,17:57,18,24,-4
Backlund,Mikael,31,"6'0""",201,Calgary Flames,CGY,49,8,19,27,17:28,42,28,-10
Mangiapane,Andrew,24,"5'10""",176,Calgary Flames,CGY,51,13,13,26,16:45,44,24,-6
Labanc,Kevin,25,"5'11""",185,San Jose Sharks,SJS,52,11,15,26,16:29,58,31,-10
Stützle,Tim,18,"6'1""",187,Ottawa Senators,OTT,50,9,17,26,15:44,48,14,-19
Rakell,Rickard,27,"6'1""",203,Anaheim Ducks,ANA,50,8,18,26,17:53,65,12,-13
Vatrano,Frank,26,"5'11""",196,Florida Panthers,FLA,54,18,7,25,14:28,66,22,5
Wood,Miles,25,"6'2""",194,New Jersey Devils,NJD,53,17,8,25,15:03,37,29,-5
Beauvillier,Anthony,23,"5'11""",183,New York Islanders,NYI,44,14,11,25,16:28,37,12,13
Ritchie,Nick,25,"6'2""",234,Boston Bruins,BOS,52,14,11,25,15:23,95,37,-6
Granlund,Mikael,28,"5'10""",185,Nashville Predators,NSH,50,13,12,25,19:30,45,14,-4
Wennberg,Alexander,26,"6'2""",196,Florida Panthers,FLA,54,13,12,25,18:04,28,8,2
Carter,Jeff,35,"6'3""",216,Pittsburgh Penguins,PIT,12,4,2,6,17:04,4,0,4
Arvidsson,Viktor,27,"5'9""",181,Nashville Predators,NSH,50,10,15,25,16:36,15,21,9
Bennett,Sam,24,"6'1""",194,Florida Panthers,FLA,9,5,8,13,18:13,28,21,11
Anderson,Josh,26,"6'3""",220,Montreal Canadiens,MTL,49,17,7,24,16:20,129,38,-7
Saad,Brandon,28,"6'1""",205,Colorado Avalanche,COL,44,15,9,24,14:05,16,12,1
Kuokkanen,Janne,22,"6'1""",194,New Jersey Devils,NJD,47,7,17,24,14:40,9,14,-7
Danault,Phillip,27,"6'1""",198,Montreal Canadiens,MTL,52,5,19,24,17:07,76,24,12
Gallagher,Brendan,28,"5'9""",183,Montreal Canadiens,MTL,35,14,9,23,15:00,46,16,10
Puljujärvi,Jesse,22,"6'4""",203,Edmonton Oilers,EDM,50,13,10,23,15:07,92,16,8
Suter,Pius,24,"5'9""",176,Chicago Blackhawks,CHI,52,13,10,23,16:09,25,14,-6
Janmark-Nylén,Mattias,28,"6'1""",194,Vegas Golden Knights,VGK,11,1,3,4,17:29,3,2,2
Foligno,Marcus,29,"6'3""",227,Minnesota Wild,MIN,35,10,13,23,14:56,100,49,21
Athanasiou,Andreas,26,"6'2""",187,Los Angeles Kings,LAK,43,10,13,23,14:55,10,27,-7
Lowry,Adam,27,"6'5""",209,Winnipeg Jets,WPG,48,10,13,23,15:31,143,13,6
Moore,Trevor,25,"5'10""",183,Los Angeles Kings,LAK,51,10,13,23,14:24,38,18,-2
Larkin,Dylan,24,"6'1""",198,Detroit Red Wings,DET,44,9,14,23,20:24,38,34,-14
Bonino,Nick,32,"6'1""",196,Minnesota Wild,MIN,51,9,14,23,14:52,10,26,0
Domi,Max,25,"5'10""",194,Columbus Blue Jackets,CBJ,52,8,15,23,15:10,15,73,-16
Drouin,Jonathan,25,"6'0""",194,Montreal Canadiens,MTL,44,2,21,23,16:05,42,20,-8
Blackwell,Colin,27,"5'10""",190,New York Rangers,NYR,45,12,10,22,13:49,42,15,4
Tolvanen,Eeli,21,"5'11""",181,Nashville Predators,NSH,38,11,11,22,14:48,72,4,-10
Cirelli,Anthony,23,"6'0""",181,Tampa Bay Lightning,TBL,47,9,13,22,17:53,61,10,5
Höglander,Nils,20,"5'9""",185,Vancouver Canucks,VAN,47,9,13,22,15:28,25,10,-4
Appleton,Mason,24,"6'2""",201,Winnipeg Jets,WPG,52,9,13,22,14:23,56,12,9
Hagel,Brandon,22,"6'1""",174,Chicago Blackhawks,CHI,49,8,14,22,13:47,55,11,-7
Johnson,Tyler,30,"5'8""",183,Tampa Bay Lightning,TBL,52,8,14,22,13:39,59,16,2
Blueger,Teodors,26,"6'0""",194,Pittsburgh Penguins,PIT,41,7,15,22,14:58,51,16,11
Sheary,Conor,28,"5'8""",176,Washington Capitals,WSH,50,13,8,21,13:29,22,14,-4
Laine,Patrik,22,"6'5""",205,Columbus Blue Jackets,CBJ,43,10,8,18,17:27,32,21,-28
Pettersson,Elias,22,"6'2""",176,Vancouver Canucks,VAN,26,10,11,21,18:34,11,6,0
Mittelstadt,Casey,22,"6'1""",203,Buffalo Sabres,BUF,39,10,11,21,15:49,8,10,-9
Dubois,Pierre-Luc,22,"6'3""",207,Winnipeg Jets,WPG,37,8,12,20,15:19,53,34,-3
Chytil,Filip,21,"6'2""",207,New York Rangers,NYR,40,8,13,21,13:16,15,10,9
Rask,Victor,27,"6'2""",201,Minnesota Wild,MIN,50,8,13,21,14:22,17,2,3
Kerfoot,Alexander,26,"5'10""",174,Toronto Maple Leafs,TOR,52,8,13,21,14:18,39,12,3
Eller,Lars,31,"6'2""",207,Washington Capitals,WSH,41,7,14,21,16:04,32,21,-2
Hartman,Ryan,26,"6'0""",181,Minnesota Wild,MIN,47,6,15,21,14:57,53,31,0
Dadonov,Evgeny,31,"5'11""",185,Ottawa Senators,OTT,52,13,7,20,15:39,34,2,-7
Erne,Adam,25,"6'1""",214,Detroit Red Wings,DET,45,11,9,20,13:55,82,26,-1
Lafrenière,Alexis,19,"6'1""",203,New York Rangers,NYR,54,11,9,20,13:47,43,8,-6
Nichushkin,Valeri,25,"6'4""",209,Colorado Avalanche,COL,50,10,10,20,13:51,55,4,9
Foegele,Warren,24,"6'2""",190,Carolina Hurricanes,CAR,50,10,10,20,14:06,59,18,6
Perry,Corey,35,"6'3""",205,Montreal Canadiens,MTL,45,9,11,20,13:30,51,37,-3
Palmieri,Kyle,29,"5'11""",185,New York Islanders,NYI,14,1,2,3,14:09,15,2,-2
Vilardi,Gabriel,21,"6'3""",201,Los Angeles Kings,LAK,49,9,11,20,14:37,16,4,-9
Lucic,Milan,32,"6'3""",231,Calgary Flames,CGY,51,9,11,20,13:41,134,42,-9
Zajac,Travis,35,"6'2""",185,New York Islanders,NYI,11,1,1,2,15:06,7,0,1
Yamamoto,Kailer,22,"5'8""",159,Edmonton Oilers,EDM,49,8,12,20,16:26,50,24,8
Haula,Erik,29,"6'0""",194,Nashville Predators,NSH,50,8,12,20,16:00,60,14,4
Foligno,Nick,33,"6'0""",203,Toronto Maple Leafs,TOR,5,0,4,4,14:55,16,2,5
Johansen,Ryan,28,"6'3""",218,Nashville Predators,NSH,46,6,14,20,16:59,42,22,-1
Donato,Ryan,24,"6'0""",181,San Jose Sharks,SJS,50,6,14,20,12:36,50,10,-10
Kotkaniemi,Jesperi,20,"6'2""",183,Montreal Canadiens,MTL,52,5,15,20,14:53,77,12,1
Paul,Nick,25,"6'3""",218,Ottawa Senators,OTT,53,5,15,20,16:03,71,19,6
Lee,Anders,30,"6'3""",231,New York Islanders,NYI,27,12,7,19,17:31,39,12,11
Sprong,Daniel,23,"5'11""",192,Washington Capitals,WSH,39,12,7,19,11:24,25,8,8
Joseph,Mathieu,23,"6'1""",190,Tampa Bay Lightning,TBL,53,12,7,19,10:51,77,10,7
Henrique,Adam,30,"6'0""",196,Anaheim Ducks,ANA,44,11,8,19,16:05,40,11,-9
Smith,Reilly,29,"6'1""",183,Vegas Golden Knights,VGK,49,10,9,19,17:46,42,16,6
Laughton,Scott,26,"6'1""",190,Philadelphia Flyers,PHI,50,8,11,19,15:24,134,37,11
Brassard,Derick,33,"6'1""",203,Arizona Coyotes,ARI,51,8,11,19,14:43,78,12,-11
Terry,Troy,23,"6'1""",179,Anaheim Ducks,ANA,46,7,12,19,14:41,5,14,-2
Fast,Jesper,29,"6'1""",192,Carolina Hurricanes,CAR,43,6,13,19,15:18,74,14,-2
Zadina,Filip,21,"6'0""",194,Detroit Red Wings,DET,47,6,13,19,16:47,20,0,-3
Tierney,Chris,26,"6'1""",194,Ottawa Senators,OTT,53,6,13,19,15:06,23,8,-12
Wahlstrom,Oliver,20,"6'2""",201,New York Islanders,NYI,41,11,7,18,12:09,49,21,1
Fabbri,Robby,24,"5'10""",190,Detroit Red Wings,DET,30,10,8,18,17:16,34,16,3
White,Colin,23,"6'1""",190,Ottawa Senators,OTT,43,10,8,18,14:36,56,16,-3
Dube,Dillon,22,"5'11""",185,Calgary Flames,CGY,46,9,9,18,13:46,58,18,-3
Nosek,Tomas,28,"6'3""",209,Vegas Golden Knights,VGK,38,8,10,18,13:00,51,10,7
Parise,Zach,36,"5'11""",194,Minnesota Wild,MIN,44,7,11,18,13:54,17,6,8
Schwartz,Jaden,28,"5'10""",190,St. Louis Blues,STL,36,6,12,18,17:53,32,18,3
Goodrow,Barclay,27,"6'2""",209,Tampa Bay Lightning,TBL,53,6,12,18,15:05,102,45,15
Thornton,Joe,41,"6'4""",220,Toronto Maple Leafs,TOR,40,5,13,18,13:41,31,14,4
Maroon,Patrick,32,"6'3""",225,Tampa Bay Lightning,TBL,53,4,14,18,11:28,70,48,3
Eichel,Jack,24,"6'2""",201,Buffalo Sabres,BUF,21,2,16,18,20:29,20,6,-9
Kakko,Kaapo,19,"6'3""",198,New York Rangers,NYR,47,9,8,17,14:23,13,10,3
Perreault,Mathieu,32,"5'10""",187,Winnipeg Jets,WPG,52,9,8,17,11:30,73,16,7
Kunin,Luke,23,"6'0""",194,Nashville Predators,NSH,37,8,9,17,14:03,83,13,1
Jenner,Boone,27,"6'2""",205,Columbus Blue Jackets,CBJ,41,8,9,17,17:59,76,6,-9
Söderberg,Carl,35,"6'3""",209,Colorado Avalanche,COL,9,0,2,2,13:35,12,4,1
Tippett,Owen,21,"6'2""",203,Florida Panthers,FLA,43,7,10,17,11:25,55,6,-6
Hathaway,Garnet,29,"6'3""",209,Washington Capitals,WSH,53,6,11,17,12:21,167,64,8
Getzlaf,Ryan,35,"6'4""",225,Anaheim Ducks,ANA,47,5,12,17,16:38,66,41,-13
Cousins,Nick,27,"5'11""",185,Nashville Predators,NSH,51,5,12,17,13:19,44,41,3
Zucker,Jason,28,"5'11""",183,Pittsburgh Penguins,PIT,36,9,7,16,15:41,68,19,-8
Silfverberg,Jakob,30,"6'1""",205,Anaheim Ducks,ANA,47,8,8,16,16:56,19,18,-17
Tanev,Brandon,29,"6'0""",181,Pittsburgh Penguins,PIT,32,7,9,16,14:26,139,22,12
Balcers,Rudolfs,23,"5'11""",174,San Jose Sharks,SJS,38,7,9,16,14:31,76,16,-5
Mikheyev,Ilya,26,"6'3""",194,Toronto Maple Leafs,TOR,50,6,10,16,14:11,49,6,4
Coyle,Charlie,28,"6'3""",220,Boston Bruins,BOS,51,6,10,16,16:17,57,20,-4
Pearson,Tanner,28,"6'1""",201,Vancouver Canucks,VAN,43,10,5,15,16:52,48,26,-10
Aston-Reese,Zach,26,"6'0""",205,Pittsburgh Penguins,PIT,43,9,6,15,14:43,86,15,11
Blais,Samuel,24,"6'2""",205,St. Louis Blues,STL,35,8,7,15,11:58,102,12,-1
Strome,Dylan,23,"6'3""",201,Chicago Blackhawks,CHI,39,8,7,15,15:29,7,14,-16
Kurashev,Philipp,21,"6'0""",192,Chicago Blackhawks,CHI,51,8,7,15,12:56,27,12,-9
Sissons,Colton,27,"6'1""",201,Nashville Predators,NSH,53,8,7,15,14:17,72,18,2
Robinson,Eric,25,"6'2""",201,Columbus Blue Jackets,CBJ,54,7,8,15,12:14,92,4,5
Bjugstad,Nick,28,"6'6""",216,Minnesota Wild,MIN,40,6,9,15,11:53,44,17,7
Namestnikov,Vladislav,28,"6'0""",183,Detroit Red Wings,DET,51,6,9,15,16:11,71,24,-6
Glendening,Luke,31,"5'11""",192,Detroit Red Wings,DET,52,6,9,15,14:45,66,20,3
Teräväinen,Teuvo,26,"5'11""",179,Carolina Hurricanes,CAR,18,5,10,15,16:37,8,2,10
Hagelin,Carl,32,"6'0""",185,Washington Capitals,WSH,53,5,10,15,14:08,22,19,8
Texier,Alexandre,21,"6'1""",192,Columbus Blue Jackets,CBJ,49,4,11,15,15:50,49,22,-13
Dowd,Nic,30,"6'2""",196,Washington Capitals,WSH,53,11,3,14,14:24,101,29,4
Sturm,Nico,25,"6'3""",205,Minnesota Wild,MIN,46,9,5,14,10:49,45,17,12
Sanford,Zachary,26,"6'4""",207,St. Louis Blues,STL,47,9,5,14,14:51,54,25,-14
Larsson,Johan,28,"5'11""",203,Arizona Coyotes,ARI,52,8,6,14,13:58,77,24,-13
Rooney,Kevin,27,"6'2""",190,New York Rangers,NYR,52,8,6,14,12:18,107,54,0
Ryan,Bobby,33,"6'2""",209,Detroit Red Wings,DET,33,7,7,14,15:19,31,27,-14
Rodrigues,Evan,27,"5'11""",183,Pittsburgh Penguins,PIT,35,7,7,14,14:06,21,6,-3
Armia,Joel,27,"6'4""",209,Montreal Canadiens,MTL,37,7,7,14,14:37,81,8,8
Heinen,Danton,25,"6'1""",185,Anaheim Ducks,ANA,41,7,7,14,14:38,32,0,-8
Cizikas,Casey,29,"5'11""",194,New York Islanders,NYI,53,7,7,14,13:53,105,25,-1
Johansson,Marcus,30,"6'1""",205,Minnesota Wild,MIN,32,6,8,14,15:54,10,4,-6
Dickinson,Jason,25,"6'2""",201,Dallas Stars,DAL,48,6,8,14,16:08,72,16,1
Grant,Derek,30,"6'3""",216,Anaheim Ducks,ANA,45,5,9,14,14:31,65,23,-5
Tarasenko,Vladimir,29,"6'0""",225,St. Louis Blues,STL,24,4,10,14,17:25,30,0,-7
Bozak,Tyler,34,"6'1""",198,St. Louis Blues,STL,27,4,10,14,14:53,17,6,-1
